train_DIV_LOSS_epoch,train_loss_epoch,train_acc_epoch,epoch,step,lr,train_DIV_LOSS_step,train_loss_step,train_acc_step,val_DIV_LOSS,val_loss,val_acc,val_ece,test_DIV_LOSS,test_loss,test_acc,test_ece
12.160316467285156,4.604947566986084,0.010080644860863686,0,30,,,,,,,,,,,,
,,,1,49,0.02449999935925007,12.219886779785156,4.54267692565918,0.15625,,,,,,,,
,,,1,49,,,,,12.12310791015625,4.5301690101623535,0.16500000655651093,0.15330129861831665,12.089234352111816,4.561070442199707,0.09914137423038483,0.08844579756259918
12.16392707824707,4.549923896789551,0.11895161122083664,1,61,,,,,,,,,,,,
12.152383804321289,4.431552886962891,0.3155241906642914,2,92,,,,,,,,,,,,
,,,3,99,0.0494999997317791,12.24675178527832,4.328990936279297,0.40625,,,,,,,,
,,,3,99,,,,,12.127052307128906,4.283121109008789,0.4350000023841858,0.41971302032470703,12.090599060058594,4.4128828048706055,0.24660542607307434,0.23204787075519562
12.119136810302734,4.2504682540893555,0.4243951737880707,3,123,,,,,,,,,,,,
,,,4,149,0.07450000196695328,11.906503677368164,3.9428863525390625,0.40625,,,,,,,,
,,,4,149,,,,,12.123330116271973,3.8822765350341797,0.5350000262260437,0.5094035863876343,12.07917594909668,4.170873165130615,0.2781549394130707,0.25572818517684937
12.003540992736816,4.011816501617432,0.4647177457809448,4,154,,,,,,,,,,,,
11.793927192687988,3.7040793895721436,0.5100806355476379,5,185,,,,,,,,,,,,
,,,6,199,0.09950000047683716,11.3607177734375,3.4628405570983887,0.5,,,,,,,,
,,,6,199,,,,,11.730528831481934,3.227484703063965,0.625,0.5668135285377502,11.71890640258789,3.7464985847473145,0.3566294014453888,0.31483757495880127
11.23832893371582,3.2715344429016113,0.5745967626571655,6,216,,,,,,,,,,,,
10.934136390686035,2.7335047721862793,0.6280242204666138,7,247,,,,,,,,,,,,
,,,8,249,0.12449999898672104,10.680402755737305,2.3054966926574707,0.8125,,,,,,,,
