train_DIV_LOSS_epoch,train_loss_epoch,train_acc_epoch,LAMDA_epoch,perturb_distance_epoch,epoch,step,lr,train_DIV_LOSS_step,train_loss_step,train_acc_step,LAMDA_step,perturb_distance_step,val_DIV_LOSS,val_loss,val_acc,val_ece,test_DIV_LOSS,test_loss,test_acc,test_ece
6.252185344696045,1.46297025680542,0.3221544623374939,2.998667001724243,0.0143238240852952,0,40,,,,,,,,,,,,,,
,,,,,1,49,0.014700000174343586,1.6380727291107178,1.2567943334579468,0.4583333432674408,2.9954428672790527,0.024211563169956207,,,,,,,,
,,,,,1,49,,,,,,,1.7303372621536255,1.2193267345428467,0.36500000953674316,0.1992044895887375,1.7299327850341797,1.3095824718475342,0.24166665971279144,0.2419724315404892
1.580361008644104,1.2096775770187378,0.47357723116874695,2.9941837787628174,0.024113990366458893,1,81,,,,,,,,,,,,,,
,,,,,2,99,0.02969999983906746,1.2883825302124023,1.1773122549057007,0.4583333432674408,2.9942965507507324,0.027630051597952843,,,,,,,,
,,,,,2,99,,,,,,,1.2460851669311523,1.0071394443511963,0.550000011920929,0.2271648794412613,1.7871376276016235,1.2168463468551636,0.4055555760860443,0.21744568645954132
1.182450771331787,1.0907388925552368,0.5365853905677795,2.998929977416992,0.03128552809357643,2,122,,,,,,,,,,,,,,
,,,,,3,149,0.04470000043511391,1.2135592699050903,1.1304266452789307,0.625,3.1227455139160156,0.030020443722605705,,,,,,,,
,,,,,3,149,,,,,,,0.7522376179695129,0.8822957873344421,0.6549999713897705,0.24724042415618896,1.3052054643630981,1.2226957082748413,0.3880555331707001,0.2838442027568817
0.858801543712616,1.0221333503723145,0.5569105744361877,3.0987589359283447,0.03933192417025566,3,163,,,,,,,,,,,,,,
,,,,,4,199,0.059700001031160355,0.5570468902587891,0.8014007806777954,0.75,3.6864523887634277,0.04784500226378441,,,,,,,,
,,,,,4,199,,,,,,,0.6697134971618652,0.7834280133247375,0.7049999833106995,0.21538129448890686,1.0788313150405884,1.151139497756958,0.4744443893432617,0.24058707058429718
0.6879267692565918,0.9719167947769165,0.6006097793579102,3.4214868545532227,0.04429316148161888,4,204,,,,,,,,,,,,,,
0.43169498443603516,0.9338092803955078,0.6097561120986938,4.348402500152588,0.049547407776117325,5,245,,,,,,,,,,,,,,
,,,,,6,249,0.0746999979019165,0.1981694996356964,0.7654984593391418,0.5833333134651184,5.0,0.06136912852525711,,,,,,,,
,,,,,6,249,,,,,,,0.2304782122373581,0.6944185495376587,0.7250000238418579,0.22511214017868042,0.27901342511177063,1.0901306867599487,0.5469444990158081,0.21625138819217682
0.16081078350543976,0.8714357614517212,0.6219512224197388,5.0,0.05161500349640846,6,286,,,,,,,,,,,,,,
,,,,,7,299,0.08969999849796295,0.10370740294456482,0.83518385887146,0.625,5.0,0.057670366019010544,,,,,,,,
