train_DIV_LOSS_epoch,train_loss_epoch,train_acc_epoch,LAMDA_epoch,perturb_distance_epoch,epoch,step,lr,train_DIV_LOSS_step,train_loss_step,train_acc_step,LAMDA_step,perturb_distance_step,val_DIV_LOSS,val_loss,val_acc,val_ece,test_DIV_LOSS,test_loss,test_acc,test_ece
11.982670783996582,4.838869571685791,0.017276423051953316,2.996906280517578,0.002384610241279006,0,40,,,,,,,,,,,,,,
,,,,,1,49,0.019600000232458115,11.252243041992188,4.762632846832275,0.2916666567325592,2.98646879196167,0.002335215685889125,,,,,,,,
,,,,,1,49,,,,,,,11.095697402954102,4.759695529937744,0.17499999701976776,0.1634044647216797,11.06911563873291,4.790250778198242,0.06894481927156448,0.06157591938972473
10.316246032714844,4.7299299240112305,0.15853658318519592,2.978360891342163,0.0024380958639085293,1,81,,,,,,,,,,,,,,
,,,,,2,99,0.03959999978542328,7.514411449432373,4.497890472412109,0.3333333432674408,2.9454681873321533,0.0026079309172928333,,,,,,,,
,,,,,2,99,,,,,,,7.495624542236328,4.487920761108398,0.4699999988079071,0.45561835169792175,7.482961654663086,4.598188877105713,0.2142285853624344,0.20050959289073944
7.090847492218018,4.501774311065674,0.36788618564605713,2.9414079189300537,0.0026144383009523153,2,122,,,,,,,,,,,,,,
,,,,,3,149,0.05959999933838844,2.698967695236206,4.191683292388916,0.375,2.877885341644287,0.00317151821218431,,,,,,,,
,,,,,3,149,,,,,,,2.9737353324890137,4.083413124084473,0.5199999809265137,0.49844610691070557,2.9312074184417725,4.324230670928955,0.24060757458209991,0.2209603637456894
3.383975028991699,4.183487892150879,0.4044715464115143,2.8866384029388428,0.0030698589980602264,3,163,,,,,,,,,,,,,,
,,,,,4,199,0.07959999889135361,0.6448250412940979,3.862190008163452,0.375,2.7864251136779785,0.004308899864554405,,,,,,,,
,,,,,4,199,,,,,,,0.9326202869415283,3.621988296508789,0.5249999761581421,0.4891703128814697,0.9003581404685974,4.036463737487793,0.2794264554977417,0.25006136298179626
1.1812351942062378,3.830913543701172,0.4359756112098694,2.8154942989349365,0.004012054763734341,4,204,,,,,,,,,,,,,,
0.5012820363044739,3.457399845123291,0.5142276287078857,2.730952262878418,0.005582903511822224,5,245,,,,,,,,,,,,,,
,,,,,6,249,0.09960000216960907,0.21075496077537537,3.1151845455169678,0.625,2.676974296569824,0.008259511552751064,,,,,,,,
,,,,,6,249,,,,,,,0.4445545971393585,3.133495807647705,0.6349999904632568,0.5713293552398682,0.4333086609840393,3.7406129837036133,0.3177459239959717,0.2729055881500244
