train_DIV_LOSS_epoch,train_loss_epoch,train_acc_epoch,LAMDA_epoch,perturb_distance_epoch,epoch,step,lr,train_DIV_LOSS_step,train_loss_step,train_acc_step,LAMDA_step,perturb_distance_step,val_DIV_LOSS,val_loss,val_acc,val_ece,test_DIV_LOSS,test_loss,test_acc,test_ece
12.313959121704102,4.861471176147461,0.018292682245373726,2.996903419494629,0.0023489699233323336,0,40,,,,,,,,,,,,,,
,,,,,1,49,0.019600000232458115,11.969655990600586,4.758054733276367,0.3333333432674408,2.9864535331726074,0.0022513088770210743,,,,,,,,
,,,,,1,49,,,,,,,11.993081092834473,4.755433082580566,0.4300000071525574,0.41857898235321045,12.014446258544922,4.770504951477051,0.3372702896595001,0.3259173035621643
11.363212585449219,4.698051452636719,0.5081300735473633,2.978320360183716,0.0023823040537536144,1,81,,,,,,,,,,,,,,
,,,,,2,99,0.03959999978542328,9.080424308776855,4.400078296661377,0.7083333134651184,2.9453682899475098,0.00253480626270175,,,,,,,,
,,,,,2,99,,,,,,,9.409381866455078,4.310060024261475,0.875,0.8581960201263428,9.389242172241211,4.360295295715332,0.7342519760131836,0.7176655530929565
9.0181303024292,4.344862461090088,0.8028455376625061,2.941291332244873,0.0025423835031688213,2,122,,,,,,,,,,,,,,
,,,,,3,149,0.05959999933838844,5.344224452972412,3.757966995239258,0.8333333134651184,2.8777451515197754,0.003559993114322424,,,,,,,,
,,,,,3,149,,,,,,,5.795810699462891,3.6050102710723877,0.9150000214576721,0.8802987933158875,5.774901390075684,3.687965154647827,0.7657479047775269,0.7324472069740295
6.035475254058838,3.8301539421081543,0.8424796462059021,2.886467218399048,0.003098516957834363,3,163,,,,,,,,,,,,,,
,,,,,4,199,0.07959999889135361,2.1928532123565674,2.982062816619873,0.875,2.7877888679504395,0.005920202471315861,,,,,,,,
,,,,,4,199,,,,,,,1.9573360681533813,2.601656198501587,0.925000011920929,0.8219238519668579,2.132145404815674,2.779494524002075,0.7790354490280151,0.6819769144058228
2.8843016624450684,3.1436212062835693,0.8719512224197388,2.8162028789520264,0.004728814121335745,4,204,,,,,,,,,,,,,,
1.1590325832366943,2.2222201824188232,0.8831300735473633,2.7398910522460938,0.010131333023309708,5,245,,,,,,,,,,,,,,
,,,,,6,249,0.09960000216960907,1.2561296224594116,1.3017526865005493,0.9166666865348816,2.6993002891540527,0.018009424209594727,,,,,,,,
,,,,,6,249,,,,,,,0.8758161067962646,1.3501412868499756,0.9549999833106995,0.6047418117523193,1.366904616355896,1.6714497804641724,0.8080707788467407,0.5000519752502441
0.8140431046485901,1.3572417497634888,0.9004064798355103,2.674969434738159,0.016629192978143692,6,286,,,,,,,,,,,,,,
,,,,,7,299,0.11959999799728394,0.37058311700820923,0.987563967704773,0.9583333134651184,2.629074811935425,0.017847973853349686,,,,,,,,
,,,,,7,299,,,,,,,0.4467514753341675,0.6322970390319824,0.9850000143051147,0.3746188282966614,0.9517577886581421,1.0662943124771118,0.8418634533882141,0.3408915400505066
