train_DIV_LOSS_epoch,train_loss_epoch,train_acc_epoch,LAMDA_epoch,perturb_distance_epoch,epoch,step,lr,train_DIV_LOSS_step,train_loss_step,train_acc_step,LAMDA_step,perturb_distance_step,val_DIV_LOSS,val_loss,val_acc,val_ece,test_DIV_LOSS,test_loss,test_acc,test_ece
5.834697246551514,1.8978922367095947,0.23170731961727142,2.99623441696167,0.013199260458350182,0,40,,,,,,,,,,,,,,
,,,,,1,49,0.03920000046491623,0.49778079986572266,1.6880556344985962,0.375,2.986316442489624,0.019428342580795288,,,,,,,,
,,,,,1,49,,,,,,,0.492294043302536,1.7545287609100342,0.23499999940395355,0.11740816384553909,0.4913521707057953,1.7576738595962524,0.21603743731975555,0.10505422949790955
0.3957709074020386,1.7439119815826416,0.26524388790130615,2.980438232421875,0.020266085863113403,1,81,,,,,,,,,,,,,,
,,,,,2,99,0.07919999957084656,0.2902754843235016,1.6852686405181885,0.375,2.9626920223236084,0.022402506321668625,,,,,,,,
,,,,,2,99,,,,,,,0.17791062593460083,1.6751011610031128,0.2750000059604645,0.13015060126781464,0.18842075765132904,1.6686712503433228,0.30178818106651306,0.16434331238269806
0.1998443454504013,1.6893060207366943,0.30691057443618774,2.9621152877807617,0.025271082296967506,2,122,,,,,,,,,,,,,,
,,,,,3,149,0.11919999867677689,0.19993554055690765,1.6799335479736328,0.375,2.964672088623047,0.03935091942548752,,,,,,,,
,,,,,3,149,,,,,,,0.11559665948152542,1.575891137123108,0.35499998927116394,0.16938774287700653,0.11877754330635071,1.6071527004241943,0.31827041506767273,0.16243912279605865
0.14031846821308136,1.6378830671310425,0.3231707215309143,2.9620108604431152,0.03026958368718624,3,163,,,,,,,,,,,,,,
,,,,,4,199,0.15919999778270721,0.18373098969459534,1.6339741945266724,0.25,3.4728052616119385,0.044479917734861374,,,,,,,,
,,,,,4,199,,,,,,,0.1616295427083969,1.4968012571334839,0.375,0.17262953519821167,0.16427908837795258,1.590774416923523,0.3237200975418091,0.18329359591007233
0.14732597768306732,1.5966943502426147,0.34654471278190613,3.218655586242676,0.03938426077365875,4,204,,,,,,,,,,,,,,
0.2030380219221115,1.521461009979248,0.3739837408065796,4.402421474456787,0.048299942165613174,5,245,,,,,,,,,,,,,,
,,,,,6,249,0.19920000433921814,0.244332417845726,1.4553226232528687,0.4166666567325592,5.0,0.04240793734788895,,,,,,,,
,,,,,6,249,,,,,,,0.3318342864513397,1.4653980731964111,0.4350000023841858,0.18251150846481323,0.36957302689552307,1.6614506244659424,0.3117402493953705,0.22661973536014557
0.19746153056621552,1.5035704374313354,0.36890244483947754,5.0,0.056340862065553665,6,286,,,,,,,,,,,,,,
,,,,,7,299,0.23919999599456787,0.2924744784832001,1.3225117921829224,0.375,5.0,0.06361152231693268,,,,,,,,
,,,,,7,299,,,,,,,0.2570539712905884,1.3334788084030151,0.47999998927116394,0.20082637667655945,0.39659029245376587,1.5816606283187866,0.3409307301044464,0.24679476022720337
0.1927868276834488,1.456074595451355,0.4380081295967102,5.0,0.062344420701265335,7,327,,,,,,,,,,,,,,
,,,,,8,349,0.2791999876499176,0.1539616733789444,1.4695950746536255,0.4583333432674408,5.0,0.07388804852962494,,,,,,,,
,,,,,8,349,,,,,,,0.15357249975204468,1.2201027870178223,0.5099999904632568,0.21992424130439758,0.2274133712053299,1.486436367034912,0.38327556848526,0.23580873012542725
0.20537996292114258,1.453075647354126,0.413617879152298,5.0,0.07298997044563293,8,368,,,,,,,,,,,,,,
,,,,,9,399,0.3192000091075897,0.3685264587402344,1.5466450452804565,0.5,5.0,0.08913825452327728,,,,,,,,
,,,,,9,399,,,,,,,0.21689727902412415,1.1711227893829346,0.5450000166893005,0.228397935628891,0.3638639450073242,1.4540742635726929,0.4075624346733093,0.2496282011270523
