train_DIV_LOSS_epoch,train_loss_epoch,train_acc_epoch,LAMDA_epoch,perturb_distance_epoch,epoch,step,lr,train_DIV_LOSS_step,train_loss_step,train_acc_step,LAMDA_step,perturb_distance_step,val_DIV_LOSS,val_loss,val_acc,val_ece,test_DIV_LOSS,test_loss,test_acc,test_ece
11.78823184967041,3.8308045864105225,0.06402438879013062,2.9970879554748535,0.004000263288617134,0,40,,,,,,,,,,,,,,
,,,,,1,49,0.019600000232458115,8.653505325317383,3.6703364849090576,0.4166666567325592,2.9872732162475586,0.003923413343727589,,,,,,,,
,,,,,1,49,,,,,,,9.268426895141602,3.6232848167419434,0.6150000095367432,0.5817719101905823,9.22141170501709,3.638953447341919,0.5178571939468384,0.4847719669342041
7.391272068023682,3.5846571922302246,0.3943089544773102,2.9797122478485107,0.004346294328570366,1,81,,,,,,,,,,,,,,
,,,,,2,99,0.03959999978542328,3.1877169609069824,3.240168809890747,0.5,2.9496383666992188,0.005449424497783184,,,,,,,,
,,,,,2,99,,,,,,,4.006372451782227,3.0035183429718018,0.7549999952316284,0.696825385093689,3.9241979122161865,3.050020456314087,0.6930828094482422,0.636670708656311
3.3381781578063965,3.168336868286133,0.5142276287078857,2.946138858795166,0.005682826973497868,2,122,,,,,,,,,,,,,,
,,,,,3,149,0.05959999933838844,1.1446661949157715,2.6450235843658447,0.5,2.8933515548706055,0.010909615084528923,,,,,,,,
,,,,,3,149,,,,,,,1.61509108543396,2.234297752380371,0.7649999856948853,0.636257529258728,1.5310965776443481,2.3151159286499023,0.7363831996917725,0.6160922646522522
1.363629937171936,2.737952470779419,0.5335366129875183,2.9004759788513184,0.009063715115189552,3,163,,,,,,,,,,,,,,
,,,,,4,199,0.07959999889135361,0.537631630897522,2.178987503051758,0.5833333134651184,2.8351688385009766,0.015115872025489807,,,,,,,,
,,,,,4,199,,,,,,,1.0097911357879639,1.5359500646591187,0.8199999928474426,0.5554450750350952,0.945964515209198,1.6537189483642578,0.764005720615387,0.5221846699714661
0.7705756425857544,2.336791515350342,0.5731707215309143,2.851888418197632,0.014452973380684853,4,204,,,,,,,,,,,,,,
0.5781069397926331,1.88522207736969,0.6565040946006775,2.8125011920928955,0.02118273824453354,5,245,,,,,,,,,,,,,,
,,,,,6,249,0.09960000216960907,0.5316437482833862,1.483794093132019,0.8333333134651184,2.7972402572631836,0.023841751739382744,,,,,,,,
,,,,,6,249,,,,,,,0.7592857480049133,1.0478919744491577,0.8650000095367432,0.436878502368927,0.7167623043060303,1.163641333580017,0.8108464479446411,0.4214875102043152
0.45407456159591675,1.7557014226913452,0.6219512224197388,2.7958426475524902,0.026794057339429855,6,286,,,,,,,,,,,,,,
,,,,,7,299,0.11959999799728394,0.5311967134475708,1.653214454650879,0.625,2.8081130981445312,0.0253550224006176,,,,,,,,
,,,,,7,299,,,,,,,0.6629409790039062,0.7777960896492004,0.8849999904632568,0.3423384726047516,0.6191017627716064,0.8958004117012024,0.8383519053459167,0.3446143865585327
0.38072001934051514,1.5460221767425537,0.6758130192756653,2.848598003387451,0.032092973589897156,7,327,,,,,,,,,,,,,,
,,,,,8,349,0.1395999938249588,0.28625792264938354,1.4403650760650635,0.7083333134651184,3.0499627590179443,0.025318562984466553,,,,,,,,
