train_DIV_LOSS_epoch,train_loss_epoch,train_acc_epoch,LAMDA_epoch,perturb_distance_epoch,epoch,step,lr,train_DIV_LOSS_step,train_loss_step,train_acc_step,LAMDA_step,perturb_distance_step,val_DIV_LOSS,val_loss,val_acc,val_ece,test_DIV_LOSS,test_loss,test_acc,test_ece
9.984029769897461,2.425241231918335,0.3028455376625061,2.9975008964538574,0.007777368184179068,0,40,,,,,,,,,,,,,,
,,,,,1,49,0.019600000232458115,3.232553005218506,1.9842808246612549,0.5833333134651184,2.9895379543304443,0.011392737738788128,,,,,,,,
,,,,,1,49,,,,,,,3.475607395172119,2.0007545948028564,0.574999988079071,0.42484962940216064,3.514328956604004,2.0139591693878174,0.5296295285224915,0.3706482946872711
2.55159854888916,1.8197197914123535,0.6138211488723755,2.9845662117004395,0.013042180798947811,1,81,,,,,,,,,,,,,,
,,,,,2,99,0.03959999978542328,1.1864879131317139,1.263851284980774,0.8333333134651184,2.9699838161468506,0.028289450332522392,,,,,,,,
,,,,,2,99,,,,,,,1.1517788171768188,1.3097407817840576,0.8100000023841858,0.4838888645172119,1.2662596702575684,1.3451721668243408,0.7248149514198303,0.405916303396225
1.0784077644348145,1.2618937492370605,0.7876016497612,2.9691109657287598,0.022004585713148117,2,122,,,,,,,,,,,,,,
,,,,,3,149,0.05959999933838844,0.6418367624282837,0.9566118121147156,0.8333333134651184,2.980952501296997,0.02696463093161583,,,,,,,,
,,,,,3,149,,,,,,,0.6566264629364014,0.8750866651535034,0.8500000238418579,0.37339165806770325,0.8139254450798035,0.959404706954956,0.7798150181770325,0.3233444094657898
0.7013936042785645,0.910626232624054,0.8343495726585388,2.9740102291107178,0.030257780104875565,3,163,,,,,,,,,,,,,,
,,,,,4,199,0.07959999889135361,0.3568168580532074,0.6782478094100952,0.8333333134651184,3.047711133956909,0.03301181271672249,,,,,,,,
,,,,,4,199,,,,,,,0.44093790650367737,0.6144391894340515,0.9150000214576721,0.32531067728996277,0.6037349700927734,0.7363693714141846,0.8268514275550842,0.2793053984642029
0.49588608741760254,0.6952515840530396,0.869918704032898,3.0243096351623535,0.03220360726118088,4,204,,,,,,,,,,,,,,
0.38774898648262024,0.5490603446960449,0.8831300735473633,3.122589588165283,0.03368651494383812,5,245,,,,,,,,,,,,,,
,,,,,6,249,0.09960000216960907,0.3505811095237732,0.38796597719192505,0.9583333134651184,3.203076124191284,0.02979990839958191,,,,,,,,
,,,,,6,249,,,,,,,0.3224377930164337,0.45545119047164917,0.925000011920929,0.25011348724365234,0.4817907512187958,0.5924838185310364,0.8583330512046814,0.24127328395843506
0.30725839734077454,0.4254123270511627,0.9126016497612,3.2420284748077393,0.03279880806803703,6,286,,,,,,,,,,,,,,
,,,,,7,299,0.11959999799728394,0.14772546291351318,0.25960877537727356,1.0,3.3484020233154297,0.027062034234404564,,,,,,,,
,,,,,7,299,,,,,,,0.20635564625263214,0.31402796506881714,0.9599999785423279,0.19055162370204926,0.3698364198207855,0.4830838143825531,0.8783334493637085,0.20184408128261566
0.23839201033115387,0.33043456077575684,0.9288617968559265,3.369266986846924,0.031882934272289276,7,327,,,,,,,,,,,,,,
,,,,,8,349,0.1395999938249588,0.17352275550365448,0.25348395109176636,0.9583333134651184,3.4465584754943848,0.017941012978553772,,,,,,,,
,,,,,8,349,,,,,,,0.1550571322441101,0.22152219712734222,0.9700000286102295,0.14959734678268433,0.3201121687889099,0.4012690484523773,0.8961113095283508,0.17295049130916595
0.1864132583141327,0.2547108232975006,0.9502032399177551,3.451767921447754,0.029282601550221443,8,368,,,,,,,,,,,,,,
,,,,,9,399,0.15960000455379486,0.4618570804595947,0.35308191180229187,0.875,3.4840493202209473,0.02222551964223385,,,,,,,,
,,,,,9,399,,,,,,,0.13736708462238312,0.14597265422344208,0.9850000143051147,0.11153066903352737,0.2852325141429901,0.3321923613548279,0.9094445109367371,0.14644429087638855
0.13931095600128174,0.19338831305503845,0.9674796462059021,3.484989643096924,0.02568792551755905,9,409,,,,,,,,,,,,,,
,,,,,10,449,0.17960000038146973,0.031250689178705215,0.24663588404655457,0.9166666865348816,3.4846208095550537,0.02575935237109661,,,,,,,,
,,,,,10,449,,,,,,,0.11905589699745178,0.09622560441493988,0.9900000095367432,0.07923313975334167,0.2268342822790146,0.2903134822845459,0.9146296381950378,0.12856535613536835
0.10416032373905182,0.14930260181427002,0.9756097793579102,3.4972574710845947,0.023778177797794342,10,450,,,,,,,,,,,,,,
0.08681220561265945,0.11262372136116028,0.9847561120986938,3.443894386291504,0.019323209300637245,11,491,,,,,,,,,,,,,,
,,,,,12,499,0.1995999962091446,0.07904261350631714,0.11097531020641327,1.0,3.388230323791504,0.013251837342977524,,,,,,,,
,,,,,12,499,,,,,,,0.10299238562583923,0.06781142950057983,0.9950000047683716,0.05785131826996803,0.2514035105705261,0.27239665389060974,0.9157410264015198,0.11403758823871613
0.07579202204942703,0.08339416980743408,0.9928861856460571,3.3525469303131104,0.015899067744612694,12,532,,,,,,,,,,,,,,
,,,,,13,549,0.1995072364807129,0.01498026680201292,0.05131164565682411,1.0,3.2459537982940674,0.008549900725483894,,,,,,,,
,,,,,13,549,,,,,,,0.07643873989582062,0.05656856670975685,1.0,0.04948580637574196,0.21841131150722504,0.2481587678194046,0.9231482744216919,0.10598984360694885
0.045843031257390976,0.06370113790035248,0.9969512224197388,3.2359790802001953,0.015688298270106316,13,573,,,,,,,,,,,,,,
,,,,,14,599,0.19799359142780304,0.012568490579724312,0.023853393271565437,1.0,3.0834577083587646,0.008390975184738636,,,,,,,,
,,,,,14,599,,,,,,,0.07898060977458954,0.036816369742155075,1.0,0.03294882923364639,0.22644466161727905,0.23897621035575867,0.9268519878387451,0.10027749091386795
0.03636186942458153,0.045389823615550995,0.9989837408065796,3.103454828262329,0.011572482995688915,14,614,,,,,,,,,,,,,,
,,,,,15,649,0.19547440111637115,0.1231331154704094,0.05243804305791855,1.0,2.892383575439453,0.007983047515153885,,,,,,,,
,,,,,15,649,,,,,,,0.046549610793590546,0.02634272538125515,1.0,0.024171005934476852,0.19840450584888458,0.22271038591861725,0.9301852583885193,0.0917869508266449
0.030307987704873085,0.036007605493068695,1.0,2.9493141174316406,0.009841972962021828,15,655,,,,,,,,,,,,,,
0.023477474227547646,0.02848038077354431,1.0,2.781334400177002,0.008948673494160175,16,696,,,,,,,,,,,,,,
,,,,,17,699,0.19197551906108856,0.01816272735595703,0.02935056947171688,1.0,2.687908887863159,0.009426519274711609,,,,,,,,
,,,,,17,699,,,,,,,0.05784964933991432,0.019564183428883553,1.0,0.017833134159445763,0.21944719552993774,0.2134438008069992,0.9351852536201477,0.08867704123258591
0.022269053384661674,0.02327606827020645,1.0,2.610271453857422,0.007503913249820471,17,737,,,,,,,,,,,,,,
,,,,,18,749,0.18753284215927124,0.004654812626540661,0.01924200728535652,1.0,2.4736101627349854,0.006971642374992371,,,,,,,,
,,,,,18,749,,,,,,,0.047736577689647675,0.01732965186238289,1.0,0.015824826434254646,0.2296665608882904,0.2113991230726242,0.9329630732536316,0.0840347558259964
0.015990639105439186,0.01948748342692852,1.0,2.434187889099121,0.006497494410723448,18,778,,,,,,,,,,,,,,
,,,,,19,799,0.18219196796417236,0.007844171486794949,0.008639130741357803,1.0,2.256324529647827,0.002912535797804594,,,,,,,,
,,,,,19,799,,,,,,,0.028167182579636574,0.013431134633719921,1.0,0.012592178769409657,0.22148795425891876,0.20486712455749512,0.9351853728294373,0.08135338872671127
0.014352901838719845,0.016722142696380615,1.0,2.2550673484802246,0.006020257715135813,19,819,,,,,,,,,,,,,,
,,,,,20,849,0.17600767314434052,0.004707072861492634,0.022178366780281067,1.0,2.0322463512420654,0.007276094984263182,,,,,,,,
,,,,,20,849,,,,,,,0.022982342168688774,0.011041026562452316,1.0,0.010372905991971493,0.20660758018493652,0.19578243792057037,0.9375928640365601,0.07833227515220642
0.012220124714076519,0.014688433147966862,1.0,2.071950674057007,0.004834871739149094,20,860,,,,,,,,,,,,,,
,,,,,21,899,0.16904345154762268,0.01116410456597805,0.009117953479290009,1.0,1.813447117805481,0.003456719219684601,,,,,,,,
,,,,,21,899,,,,,,,0.028398871421813965,0.009796248748898506,1.0,0.009084325283765793,0.22076305747032166,0.19936543703079224,0.9362966418266296,0.07823684811592102
0.012003851123154163,0.012884638272225857,1.0,1.8914660215377808,0.004586565308272839,21,901,,,,,,,,,,,,,,
0.01187579333782196,0.011901353485882282,1.0,1.7154017686843872,0.004347420297563076,22,942,,,,,,,,,,,,,,
,,,,,23,949,0.16137075424194336,0.0325140543282032,0.01601405255496502,1.0,1.600812315940857,0.006016163155436516,,,,,,,,
,,,,,23,949,,,,,,,0.018999487161636353,0.008059975691139698,1.0,0.0075836884789168835,0.2156420350074768,0.19550839066505432,0.9372224807739258,0.07542720437049866
0.009756479412317276,0.010224437341094017,1.0,1.5421773195266724,0.0036185600329190493,23,983,,,,,,,,,,,,,,
,,,,,24,999,0.15306830406188965,0.0026582111604511738,0.005693437531590462,1.0,1.3931111097335815,0.0010553167667239904,,,,,,,,
,,,,,24,999,,,,,,,0.02656029537320137,0.007647284772247076,1.0,0.007031724322587252,0.22595499455928802,0.19216491281986237,0.9383335113525391,0.07324259728193283
0.010375823825597763,0.010137333534657955,1.0,1.3738096952438354,0.003834348637610674,24,1024,,,,,,,,,,,,,,
,,,,,25,1049,0.14422129094600677,0.004262937698513269,0.007543086539953947,1.0,1.1970778703689575,0.0023289883974939585,,,,,,,,
,,,,,25,1049,,,,,,,0.01656685769557953,0.00672592269256711,1.0,0.006325579714030027,0.2130940854549408,0.19117207825183868,0.938518762588501,0.07224863022565842
0.008411713875830173,0.00895538181066513,1.0,1.213350772857666,0.0032998693641275167,25,1065,,,,,,,,,,,,,,
,,,,,26,1099,0.13492052257061005,0.009359331801533699,0.00894904788583517,1.0,1.009170413017273,0.0035745431669056416,,,,,,,,
,,,,,26,1099,,,,,,,0.017444463446736336,0.006118295714259148,1.0,0.005714075639843941,0.22887489199638367,0.19133681058883667,0.9387038946151733,0.07117358595132828
0.008452720940113068,0.008205034770071507,1.0,1.0577006340026855,0.0028791583608835936,26,1106,,,,,,,,,,,,,,
0.006481614895164967,0.007788594346493483,1.0,0.9091494679450989,0.002662452170625329,27,1147,,,,,,,,,,,,,,
,,,,,28,1149,0.12526141107082367,0.004122614860534668,0.00616680271923542,1.0,0.8323023319244385,0.00342510431073606,,,,,,,,
,,,,,28,1149,,,,,,,0.016631610691547394,0.0057333107106387615,1.0,0.00535336509346962,0.22090785205364227,0.1895991414785385,0.9390742778778076,0.0706394761800766
0.007056100759655237,0.007032927591353655,1.0,0.7687586545944214,0.0028693368658423424,28,1188,,,,,,,,,,,,,,
,,,,,29,1199,0.11534309387207031,0.004165987949818373,0.006690869107842445,1.0,0.6694039106369019,0.005113320425152779,,,,,,,,
,,,,,29,1199,,,,,,,0.01319822110235691,0.0052625215612351894,1.0,0.004958129022270441,0.2206854224205017,0.18841002881526947,0.9377778172492981,0.07052774727344513
