LAMDA_epoch,LAMDA_step,epoch,lr,perturb_distance_epoch,perturb_distance_step,step,test_DIV_LOSS,test_acc,test_ece,test_loss,train_DIV_LOSS_epoch,train_DIV_LOSS_step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_DIV_LOSS,val_acc,val_ece,val_loss
2.999136209487915,,0,,0.006817220710217953,,14,,,,,11.950345039367676,,0.15729166567325592,,2.53513765335083,,,,,
2.994029998779297,,1,,0.007718201261013746,,29,,,,,5.895079135894775,,0.19895833730697632,,2.373154878616333,,,,,
2.9845757484436035,,2,,0.009817986749112606,,44,,,,,2.3730690479278564,,0.21041665971279144,,2.2536604404449463,,,,,
,2.974620819091797,3,0.04899999871850014,,0.01114628929644823,49,,,,,,1.338003396987915,,0.203125,,2.217557907104492,,,,
,,3,,,,49,1.4538724422454834,0.20789824426174164,0.07398878782987595,2.215216636657715,,,,,,,1.6479688882827759,0.23499999940395355,0.09744570404291153,2.1938915252685547
2.9716711044311523,,3,,0.011587129905819893,,59,,,,,1.1674913167953491,,0.22083333134651184,,2.2076821327209473,,,,,
2.9556121826171875,,4,,0.012683514505624771,,74,,,,,0.7293128371238708,,0.2291666716337204,,2.1790337562561035,,,,,
2.937147378921509,,5,,0.014118052087724209,,89,,,,,0.49167177081108093,,0.24583333730697632,,2.129546880722046,,,,,
,2.9144585132598877,6,0.0989999994635582,,0.01621420495212078,99,,,,,,0.3359769582748413,,0.265625,,2.0856285095214844,,,,
,,6,,,,99,0.4505932331085205,0.2737254202365875,0.10535050183534622,2.101937770843506,,,,,,,0.550489068031311,0.28999999165534973,0.14664417505264282,2.0612881183624268
2.9171881675720215,,6,,0.01632874272763729,,104,,,,,0.3959909975528717,,0.25,,2.1100192070007324,,,,,
2.89743709564209,,7,,0.01797483116388321,,119,,,,,0.3252408802509308,,0.27916666865348816,,2.0866496562957764,,,,,
2.878336191177368,,8,,0.020565856248140335,,134,,,,,0.24963286519050598,,0.30520832538604736,,2.061415910720825,,,,,
,2.851473569869995,9,0.14900000393390656,,0.020614761859178543,149,,,,,,0.11524304747581482,,0.265625,,2.01344895362854,,,,
,,9,,,,149,0.20190398395061493,0.2992936074733734,0.10910460352897644,2.01957368850708,,,,,,,0.2503201365470886,0.3700000047683716,0.15718060731887817,1.9343258142471313
2.8600125312805176,,9,,0.02134295366704464,,149,,,,,0.20114752650260925,,0.30000001192092896,,2.032414197921753,,,,,
2.843611001968384,,10,,0.02382170408964157,,164,,,,,0.15123619139194489,,0.3062500059604645,,2.0026471614837646,,,,,
2.830573081970215,,11,,0.025549720972776413,,179,,,,,0.14611271023750305,,0.3062500059604645,,1.9871222972869873,,,,,
2.820819854736328,,12,,0.026787472888827324,,194,,,,,0.11926378309726715,,0.32604166865348816,,1.968295931816101,,,,,
,2.815777540206909,13,0.19900000095367432,,0.02965361252427101,199,,,,,,0.06460336595773697,,0.34375,,1.8719319105148315,,,,
,,13,,,,199,0.12319833040237427,0.34729471802711487,0.13761405646800995,1.925367832183838,,,,,,,0.14483055472373962,0.4449999928474426,0.20078828930854797,1.7837334871292114
2.8155338764190674,,13,,0.029039105400443077,,209,,,,,0.10515967011451721,,0.3375000059604645,,1.9109668731689453,,,,,
2.8320016860961914,,14,,0.03186064213514328,,224,,,,,0.10110286623239517,,0.359375,,1.8712658882141113,,,,,
2.8923823833465576,,15,,0.03499528020620346,,239,,,,,0.13258858025074005,,0.38854166865348816,,1.796778917312622,,,,,
,3.0931224822998047,16,0.24899999797344208,,0.038711413741111755,249,,,,,,0.23311488330364227,,0.46875,,1.6926945447921753,,,,
,,16,,,,249,0.17061492800712585,0.4081951379776001,0.14678238332271576,1.7300310134887695,,,,,,,0.16972564160823822,0.5600000023841858,0.25558599829673767,1.4928721189498901
3.0794129371643066,,16,,0.03931276872754097,,254,,,,,0.17412592470645905,,0.4010416567325592,,1.7471387386322021,,,,,
