LAMDA_epoch,LAMDA_step,epoch,lr,perturb_distance_epoch,perturb_distance_step,step,test_DIV_LOSS,test_acc,test_ece,test_loss,train_DIV_LOSS_epoch,train_DIV_LOSS_step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_DIV_LOSS,val_acc,val_ece,val_loss
2.9927186965942383,,0,,0.00402487488463521,,40,,,,,10.07297134399414,,0.06707317382097244,,3.97408390045166,,,,,
,2.968390703201294,1,0.04899999871850014,,0.004321692511439323,49,,,,,,4.345932960510254,,0.2916666567325592,,3.6717264652252197,,,,
,,1,,,,49,3.9421005249023438,0.22750310599803925,0.1949136108160019,3.6724820137023926,,,,,,,3.951698064804077,0.2849999964237213,0.25173190236091614,3.6252188682556152
2.950188159942627,,1,,0.005297195632010698,,81,,,,,2.642400026321411,,0.22256097197532654,,3.582341432571411,,,,,
,2.8808205127716064,2,0.0989999994635582,,0.008531765080988407,99,,,,,,0.8854883909225464,,0.4583333432674408,,3.0307631492614746,,,,
,,2,,,,99,0.6048902869224548,0.2983207106590271,0.2272777557373047,3.094649314880371,,,,,,,0.5840741395950317,0.4099999964237213,0.32580849528312683,2.915693998336792
2.874070167541504,,2,,0.009153315797448158,,122,,,,,0.5550984740257263,,0.33028456568717957,,3.1371147632598877,,,,,
,2.7733511924743652,3,0.14900000393390656,,0.014431027695536613,149,,,,,,0.26758939027786255,,0.4166666567325592,,2.7905545234680176,,,,
,,3,,,,149,0.38585400581359863,0.4372623562812805,0.30180367827415466,2.4804673194885254,,,,,,,0.37455135583877563,0.5899999737739563,0.4278232157230377,2.215691328048706
2.785763740539551,,3,,0.015220221132040024,,163,,,,,0.3100295662879944,,0.43089431524276733,,2.6848390102386475,,,,,
,2.690680503845215,4,0.19900000095367432,,0.026137521490454674,199,,,,,,0.32530614733695984,,0.3333333432674408,,2.359811305999756,,,,
,,4,,,,199,0.45187658071517944,0.5454689860343933,0.307250440120697,1.9192814826965332,,,,,,,0.443913996219635,0.7200000286102295,0.4101544916629791,1.5526368618011475
2.7119898796081543,,4,,0.021979210898280144,,204,,,,,0.25379180908203125,,0.4918699264526367,,2.255289316177368,,,,,
2.703247547149658,,5,,0.02988649532198906,,245,,,,,0.3469482660293579,,0.5741869807243347,,1.8222386837005615,,,,,
,2.775552749633789,6,0.24899999797344208,,0.0358402319252491,249,,,,,,0.45515498518943787,,0.75,,1.3619887828826904,,,,
,,6,,,,249,0.7376689910888672,0.6524077653884888,0.2930131256580353,1.4132728576660156,,,,,,,0.7227453589439392,0.7900000214576721,0.333054780960083,1.0163770914077759
2.9228761196136475,,6,,0.03457270935177803,,286,,,,,0.469629168510437,,0.6463414430618286,,1.4796853065490723,,,,,
,3.403454542160034,7,0.29899999499320984,,0.04839019104838371,299,,,,,,0.35313543677330017,,0.6666666865348816,,1.3623710870742798,,,,
,,7,,,,299,0.6146191954612732,0.7164134383201599,0.26307252049446106,1.1078184843063354,,,,,,,0.6265974640846252,0.875,0.27121201157569885,0.6829817891120911
3.6157896518707275,,7,,0.039219196885824203,,327,,,,,0.43392515182495117,,0.7225610017776489,,1.1753634214401245,,,,,
,5.0,8,0.3490000069141388,,0.043052271008491516,349,,,,,,0.22827289998531342,,0.6666666865348816,,1.2462021112442017,,,,
,,8,,,,349,0.5312960147857666,0.7621991038322449,0.23281724750995636,0.8842854499816895,,,,,,,0.46686485409736633,0.9150000214576721,0.22213290631771088,0.4384668469429016
4.847954273223877,,8,,0.040581583976745605,,368,,,,,0.3110678493976593,,0.7428861856460571,,1.0140810012817383,,,,,
,5.0,9,0.39899998903274536,,0.049730341881513596,399,,,,,,0.25040143728256226,,0.9166666865348816,,0.7234731316566467,,,,
,,9,,,,399,0.567500650882721,0.7877060770988464,0.2069719433784485,0.7672469615936279,,,,,,,0.4503730833530426,0.9449999928474426,0.176444873213768,0.3449964225292206
4.999919414520264,,9,,0.040524423122406006,,409,,,,,0.3537125885486603,,0.7703251838684082,,0.89507657289505,,,,,
,5.0,10,0.4490000009536743,,0.055793002247810364,449,,,,,,0.08766785264015198,,0.625,,1.199849009513855,,,,
