LAMDA_epoch,LAMDA_step,epoch,lr,perturb_distance_epoch,perturb_distance_step,step,test_DIV_LOSS,test_acc,test_ece,test_loss,train_DIV_LOSS_epoch,train_DIV_LOSS_step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_DIV_LOSS,val_acc,val_ece,val_loss
2.9992475509643555,,0,,0.009994997642934322,,14,,,,,23.235675811767578,,0.3343749940395355,,1.8312981128692627,,,,,
2.9959707260131836,,1,,0.019349874928593636,,29,,,,,16.89015007019043,,0.3864583373069763,,1.6754993200302124,,,,,
3.044297218322754,,2,,0.04266343638300896,,44,,,,,15.933805465698242,,0.3802083432674408,,1.6727410554885864,,,,,
,5.0,3,0.04899999871850014,,0.09746958315372467,49,,,,,,15.638925552368164,,0.390625,,1.5263841152191162,,,,
,,3,,,,49,nan,0.3478422462940216,0.19246923923492432,nan,,,,,,,15.642683982849121,0.2800000011920929,0.2349083125591278,1.6064621210098267
4.65095853805542,,3,,0.08902280032634735,,59,,,,,15.744925498962402,,0.3812499940395355,,1.5734025239944458,,,,,
5.0,,4,,0.11433074623346329,,74,,,,,15.869242668151855,,0.3968749940395355,,1.7417881488800049,,,,,
5.0,,5,,0.11154412478208542,,89,,,,,15.77338695526123,,0.40937501192092896,,1.780478835105896,,,,,
,5.0,6,0.0989999994635582,,0.15318290889263153,99,,,,,,15.50523853302002,,0.421875,,1.5242875814437866,,,,
,,6,,,,99,15.277671813964844,0.3363095223903656,0.37144705653190613,1.8671220541000366,,,,,,,15.246504783630371,0.5299999713897705,0.10898395627737045,1.3317513465881348
5.0,,6,,0.12137375771999359,,104,,,,,nan,,0.4854166805744171,,nan,,,,,
5.0,,7,,0.11145026236772537,,119,,,,,15.32599925994873,,0.546875,,1.3603572845458984,,,,,
5.0,,8,,0.11569172888994217,,134,,,,,15.345189094543457,,0.5885416865348816,,1.2630231380462646,,,,,
,5.0,9,0.14900000393390656,,0.12909775972366333,149,,,,,,15.306347846984863,,0.71875,,1.0557385683059692,,,,
,,9,,,,149,15.323084831237793,0.5660342574119568,0.17901180684566498,1.2831248044967651,,,,,,,15.299551010131836,0.75,0.16331803798675537,0.8852606415748596
5.0,,9,,0.1149948462843895,,149,,,,,15.328689575195312,,0.6208333373069763,,1.191475749015808,,,,,
5.0,,10,,0.11751198023557663,,164,,,,,15.372983932495117,,0.6208333373069763,,1.1906744241714478,,,,,
5.0,,11,,0.10058853030204773,,179,,,,,15.409377098083496,,0.6583333611488342,,1.1094011068344116,,,,,
5.0,,12,,0.09905636310577393,,194,,,,,15.38174057006836,,0.6677083373069763,,1.0853420495986938,,,,,
,5.0,13,0.19900000095367432,,0.08693955838680267,199,,,,,,15.512486457824707,,0.765625,,1.0127183198928833,,,,
,,13,,,,199,15.4775390625,0.6151413321495056,0.21904833614826202,1.436447024345398,,,,,,,15.383703231811523,0.800000011920929,0.15629827976226807,0.8483550548553467
5.0,,13,,0.08976872265338898,,209,,,,,15.391343116760254,,0.6322916746139526,,1.2264913320541382,,,,,
5.0,,14,,0.10148827731609344,,224,,,,,16.121471405029297,,0.4229166805744171,,1.755444049835205,,,,,
4.999931812286377,,15,,0.08748061209917068,,239,,,,,17.403759002685547,,0.30000001192092896,,4.2692179679870605,,,,,
,5.0,16,0.24899999797344208,,0.14059223234653473,249,,,,,,16.76266098022461,,0.234375,,3.3811898231506348,,,,
,,16,,,,249,16.349653244018555,0.2044270783662796,0.6129412055015564,4.635548114776611,,,,,,,16.118946075439453,0.4350000023841858,0.39871206879615784,3.5823733806610107
4.999206066131592,,16,,0.10611680895090103,,254,,,,,16.04463005065918,,0.27291667461395264,,3.945192575454712,,,,,
