LAMDA_epoch,LAMDA_step,epoch,lr,perturb_distance_epoch,perturb_distance_step,step,test_DIV_LOSS,test_acc,test_ece,test_loss,train_DIV_LOSS_epoch,train_DIV_LOSS_step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_DIV_LOSS,val_acc,val_ece,val_loss
2.993868827819824,,0,,0.008986570872366428,,14,,,,,10.908112525939941,,0.11354167014360428,,2.413933277130127,,,,,
2.9592247009277344,,1,,0.013189614750444889,,29,,,,,2.659829616546631,,0.18125000596046448,,2.2220730781555176,,,,,
2.899242639541626,,2,,0.018674813210964203,,44,,,,,0.6179078817367554,,0.21145834028720856,,2.1347391605377197,,,,,
,2.8392834663391113,3,0.19599999487400055,,0.02408416196703911,49,,,,,,0.30211564898490906,,0.203125,,2.08868145942688,,,,
,,3,,,,49,0.44355738162994385,0.16441580653190613,0.05612536147236824,2.1368908882141113,,,,,,,0.44010570645332336,0.28999999165534973,0.12741567194461823,2.003286361694336
2.822577953338623,,3,,0.023573806509375572,,59,,,,,0.29316678643226624,,0.20937499403953552,,2.0818777084350586,,,,,
2.7343671321868896,,4,,0.026530206203460693,,74,,,,,0.1876552551984787,,0.21770833432674408,,2.074296712875366,,,,,
2.6398813724517822,,5,,0.03121177665889263,,89,,,,,0.15902160108089447,,0.22604165971279144,,2.0356075763702393,,,,,
,2.540891647338867,6,0.3959999978542328,,0.037852510809898376,99,,,,,,0.09291161596775055,,0.265625,,2.036872625350952,,,,
,,6,,,,99,0.19713819026947021,0.20740436017513275,0.08945201337337494,2.0517749786376953,,,,,,,0.18857093155384064,0.36500000953674316,0.15771904587745667,1.780612587928772
2.552611827850342,,6,,0.03652597591280937,,104,,,,,0.12451227009296417,,0.25208333134651184,,2.024223566055298,,,,,
2.481799364089966,,7,,0.0402287058532238,,119,,,,,0.12333887070417404,,0.27291667461395264,,1.9714584350585938,,,,,
2.4360673427581787,,8,,0.045659977942705154,,134,,,,,0.13992811739444733,,0.28854167461395264,,1.936761498451233,,,,,
,2.504287004470825,9,0.5960000157356262,,0.04800810292363167,149,,,,,,0.10566310584545135,,0.265625,,1.9414868354797363,,,,
,,9,,,,149,0.32385772466659546,0.20152899622917175,0.12483388185501099,2.040933132171631,,,,,,,0.3104016184806824,0.47999998927116394,0.18896138668060303,1.5920896530151367
2.4714367389678955,,9,,0.05030038580298424,,149,,,,,0.13075992465019226,,0.2854166626930237,,1.9107521772384644,,,,,
2.7958874702453613,,10,,0.05647210031747818,,164,,,,,0.16087962687015533,,0.28854167461395264,,1.8696105480194092,,,,,
3.7849087715148926,,11,,0.06101859733462334,,179,,,,,0.09293720126152039,,0.31562501192092896,,1.8334897756576538,,,,,
4.999519348144531,,12,,0.06817807257175446,,194,,,,,0.1616763323545456,,0.3125,,1.7960973978042603,,,,,
,5.0,13,0.7960000038146973,,0.06890539824962616,199,,,,,,0.202900230884552,,0.34375,,1.723983883857727,,,,
,,13,,,,199,0.2697661221027374,0.22545991837978363,0.15711010992527008,1.9978234767913818,,,,,,,0.22634269297122955,0.5049999952316284,0.15026108920574188,1.3821721076965332
5.0,,13,,0.07513345032930374,,209,,,,,0.14095091819763184,,0.3125,,1.7847477197647095,,,,,
5.0,,14,,0.07977002114057541,,224,,,,,0.27246811985969543,,0.3177083432674408,,1.7916796207427979,,,,,
5.0,,15,,0.08937762677669525,,239,,,,,0.3545474410057068,,0.3343749940395355,,1.6998043060302734,,,,,
,5.0,16,0.9959999918937683,,0.09050749242305756,249,,,,,,0.3330918848514557,,0.359375,,1.6492937803268433,,,,
,,16,,,,249,0.46828070282936096,0.24341800808906555,0.19065508246421814,1.9869379997253418,,,,,,,0.3380233347415924,0.6050000190734863,0.19642502069473267,1.2513949871063232
5.0,,16,,0.09530018270015717,,254,,,,,0.28954723477363586,,0.34166666865348816,,1.7407870292663574,,,,,
5.0,,17,,0.09805750101804733,,269,,,,,0.28840866684913635,,0.30937498807907104,,1.8101489543914795,,,,,
5.0,,18,,0.09304510802030563,,284,,,,,0.35851165652275085,,0.24166665971279144,,1.9624359607696533,,,,,
,5.0,19,1.1959999799728394,,0.05035150423645973,299,,,,,,0.0665716826915741,,0.078125,,3.024778127670288,,,,
,,19,,,,299,0.037447091192007065,0.10966739803552628,0.12372647225856781,2.3893532752990723,,,,,,,0.040519632399082184,0.0949999988079071,0.1382075846195221,2.413011074066162
5.0,,19,,0.07914140075445175,,299,,,,,0.33372962474823,,0.14270833134651184,,2.3877768516540527,,,,,
4.996848106384277,,20,,0.053892333060503006,,314,,,,,0.2954005002975464,,0.10104166716337204,,2.568223714828491,,,,,
4.999896049499512,,21,,0.056088633835315704,,329,,,,,0.008509229868650436,,0.09687499701976776,,2.4774014949798584,,,,,
5.0,,22,,0.05784113332629204,,344,,,,,0.0232835840433836,,0.1197916641831398,,2.3680810928344727,,,,,
,5.0,23,1.3960000276565552,,0.05187825858592987,349,,,,,,0.010322757065296173,,0.15625,,2.2881665229797363,,,,
,,23,,,,349,0.015430060215294361,0.11233856528997421,0.15028983354568481,2.323543071746826,,,,,,,0.017329098656773567,0.10999999940395355,0.1510915607213974,2.3260653018951416
5.0,,23,,0.055310748517513275,,359,,,,,0.02022707834839821,,0.11249999701976776,,2.421159029006958,,,,,
4.998083114624023,,24,,0.051855284720659256,,374,,,,,0.04447871446609497,,0.12604166567325592,,2.445338010787964,,,,,
4.96442174911499,,25,,0.046750642359256744,,389,,,,,0.0251486636698246,,0.1197916641831398,,2.344728708267212,,,,,
,4.7590789794921875,26,1.5959999561309814,,0.03856043145060539,399,,,,,,0.06125889718532562,,0.125,,2.1370275020599365,,,,
,,26,,,,399,0.060403402894735336,0.1109314039349556,0.10409101843833923,2.357130289077759,,,,,,,0.07537847757339478,0.0949999988079071,0.11784283816814423,2.3240435123443604
4.80603551864624,,26,,0.03862239792943001,,404,,,,,0.04148338735103607,,0.13645833730697632,,2.295139789581299,,,,,
4.442827224731445,,27,,0.03280525654554367,,419,,,,,0.033950075507164,,0.13229165971279144,,2.315345048904419,,,,,
3.9964730739593506,,28,,0.031358763575553894,,434,,,,,0.025646746158599854,,0.10729166865348816,,2.2822484970092773,,,,,
,3.260660409927368,29,1.7960000038146973,,0.03198520094156265,449,,,,,,0.022350560873746872,,0.109375,,2.261937141418457,,,,
,,29,,,,449,0.02044992335140705,0.11203703284263611,0.09432493150234222,2.262744665145874,,,,,,,0.023263556882739067,0.10999999940395355,0.09031742066144943,2.2953364849090576
3.499830961227417,,29,,0.03073026053607464,,449,,,,,0.020327426493167877,,0.1041666641831398,,2.237217426300049,,,,,
2.983142614364624,,30,,0.030855650082230568,,464,,,,,0.019998429343104362,,0.10208333283662796,,2.2597458362579346,,,,,
2.4703269004821777,,31,,0.03279737010598183,,479,,,,,0.04018954187631607,,0.12916666269302368,,2.2557153701782227,,,,,
1.965923547744751,,32,,0.032083675265312195,,494,,,,,0.08077511936426163,,0.1302083283662796,,2.3181560039520264,,,,,
,1.5565658807754517,33,1.996000051498413,,0.03320207819342613,499,,,,,,0.019142724573612213,,0.046875,,2.327854633331299,,,,
,,33,,,,499,0.023191625252366066,0.10766629874706268,0.10823681205511093,2.2936525344848633,,,,,,,0.02596660703420639,0.10499999672174454,0.11200867593288422,2.2877957820892334
