LAMDA_epoch,LAMDA_step,epoch,lr,perturb_distance_epoch,perturb_distance_step,step,test_DIV_LOSS,test_acc,test_ece,test_loss,train_DIV_LOSS_epoch,train_DIV_LOSS_step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_DIV_LOSS,val_acc,val_ece,val_loss
2.9958794116973877,,0,,0.002408568747341633,,14,,,,,12.042909622192383,,0.01354166679084301,,4.842226505279541,,,,,
2.9710824489593506,,1,,0.0024629910476505756,,29,,,,,10.248997688293457,,0.18437500298023224,,4.7221784591674805,,,,,
2.9217007160186768,,2,,0.002684063743799925,,44,,,,,6.577155113220215,,0.40625,,4.437333583831787,,,,,
,2.8661513328552246,3,0.19599999487400055,,0.0031274352222681046,49,,,,,,3.8897643089294434,,0.453125,,4.166998386383057,,,,
,,3,,,,49,3.681015968322754,0.2570660710334778,0.23729771375656128,4.334898948669434,,,,,,,3.6887588500976562,0.5199999809265137,0.49811673164367676,4.083159923553467
2.8490192890167236,,3,,0.003475714707747102,,59,,,,,3.1210505962371826,,0.46145832538604736,,4.056344032287598,,,,,
2.7563886642456055,,4,,0.004949092399328947,,74,,,,,1.1407485008239746,,0.5239583253860474,,3.6159985065460205,,,,,
2.6509506702423096,,5,,0.008026713505387306,,89,,,,,0.4737662076950073,,0.5625,,3.1389107704162598,,,,,
,2.5310449600219727,6,0.3959999978542328,,0.012813879176974297,99,,,,,,0.2561526894569397,,0.5625,,2.6470305919647217,,,,
,,6,,,,99,0.42211589217185974,0.3637539744377136,0.27052798867225647,3.308007001876831,,,,,,,0.4387153387069702,0.7099999785423279,0.5614858865737915,2.445296049118042
2.5451812744140625,,6,,0.012546928599476814,,104,,,,,0.36851751804351807,,0.6260416507720947,,2.620015859603882,,,,,
2.4600706100463867,,7,,0.019833242520689964,,119,,,,,0.4249780774116516,,0.7135416865348816,,2.069084405899048,,,,,
2.413275957107544,,8,,0.025514990091323853,,134,,,,,0.4364926517009735,,0.7749999761581421,,1.5453170537948608,,,,,
,2.4763801097869873,9,0.5960000157356262,,0.03627941757440567,149,,,,,,0.31504595279693604,,0.875,,1.0374983549118042,,,,
,,9,,,,149,0.4702087342739105,0.531050980091095,0.22974881529808044,2.0814754962921143,,,,,,,0.35534998774528503,0.8849999904632568,0.35332125425338745,0.8960549831390381
2.4296605587005615,,9,,0.03101320192217827,,149,,,,,0.3973446190357208,,0.8427083492279053,,1.1331337690353394,,,,,
2.5274221897125244,,10,,0.03205971047282219,,164,,,,,0.36503124237060547,,0.8916666507720947,,0.8208611011505127,,,,,
2.7151331901550293,,11,,0.03258182480931282,,179,,,,,0.22202308475971222,,0.9416666626930237,,0.5903478860855103,,,,,
2.87778639793396,,12,,0.03164316341280937,,194,,,,,0.16443805396556854,,0.96875,,0.4262858033180237,,,,,
,2.983114242553711,13,0.7960000038146973,,0.0341007336974144,199,,,,,,0.2086687833070755,,0.96875,,0.3662244975566864,,,,
,,13,,,,199,0.3144136071205139,0.6040008068084717,0.1786600649356842,1.5849140882492065,,,,,,,0.10629429668188095,0.9700000286102295,0.1815638691186905,0.2827472388744354
3.00907826423645,,13,,0.029570771381258965,,209,,,,,0.12552973628044128,,0.9822916388511658,,0.3044205904006958,,,,,
3.0313992500305176,,14,,0.026336362585425377,,224,,,,,0.10773321986198425,,0.9937499761581421,,0.22389346361160278,,,,,
2.9714136123657227,,15,,0.02243386022746563,,239,,,,,0.06950975954532623,,0.996874988079071,,0.16602559387683868,,,,,
,2.812302827835083,16,0.9959999918937683,,0.017744548618793488,249,,,,,,0.054249681532382965,,1.0,,0.11459322273731232,,,,
,,16,,,,249,0.31861892342567444,0.6191281676292419,0.15921396017074585,1.4563690423965454,,,,,,,0.04634808376431465,1.0,0.08940272033214569,0.10065514594316483
2.836045026779175,,16,,0.018772022798657417,,254,,,,,0.054639142006635666,,1.0,,0.12148915976285934,,,,,
2.639399766921997,,17,,0.015956994146108627,,269,,,,,0.04776277393102646,,1.0,,0.09478702396154404,,,,,
2.398399591445923,,18,,0.014145240187644958,,284,,,,,0.03197941929101944,,1.0,,0.0766259953379631,,,,,
,1.9543195962905884,19,1.1959999799728394,,0.011378485709428787,299,,,,,,0.014129023998975754,,1.0,,0.05684801563620567,,,,
,,19,,,,299,0.3175811469554901,0.6275875568389893,0.14939844608306885,1.407646656036377,,,,,,,0.018901264294981956,1.0,0.04447126388549805,0.04696820303797722
2.105764627456665,,19,,0.011892180889844894,,299,,,,,0.028183214366436005,,1.0,,0.06146230176091194,,,,,
1.7617664337158203,,20,,0.010168966837227345,,314,,,,,0.0224719550460577,,1.0,,0.05095802992582321,,,,,
1.378164291381836,,21,,0.009375233203172684,,329,,,,,0.020324699580669403,,1.0,,0.043852854520082474,,,,,
1.034976840019226,,22,,0.008022076450288296,,344,,,,,0.016204960644245148,,1.0,,0.03754778951406479,,,,,
